epoch,train_loss,val_loss,learning_rate
1,0.01340108652145448,0.011004108701793787,0.001
2,0.007976127675075467,0.008265923706251973,0.001
3,0.006514300191442349,0.005355300784200759,0.001
4,0.005811753126116466,0.008824938311590813,0.001
5,0.0054764900242324594,0.007624862649633238,0.001
6,0.004589825804565148,0.0032168542541815746,0.0005
7,0.004452937599009082,0.0035795363367772857,0.0005
8,0.004347224393417751,0.0033618435483125115,0.0005
9,0.00396115957985655,0.0029805823514531464,0.00025
10,0.003921114187713621,0.0032744334125406264,0.00025
11,0.003862423011417247,0.0030548560344868746,0.00025
12,0.0037014483751331034,0.0024980198166000872,0.000125
13,0.003669472638375737,0.002497472065988404,0.000125
14,0.0036571796235680917,0.0026449074231095437,0.000125
15,0.003630962576296172,0.0027313139168351577,0.000125
16,0.003536751735087559,0.0024123092609139953,6.25e-05
17,0.0035412341351470137,0.0023844294012026995,6.25e-05
18,0.0035242918043292904,0.002546851908300596,6.25e-05
19,0.0035179601382943865,0.002522956270452899,6.25e-05
20,0.003475148545346331,0.0023452963259842363,3.125e-05
21,0.003455071551135396,0.002520476480034025,3.125e-05
22,0.0034633152094232043,0.002348966522549745,3.125e-05
23,0.003429329994456306,0.0023186894638153412,1.5625e-05
24,0.0034166761741029664,0.0022708239404285752,1.5625e-05
25,0.00342412480387923,0.002351818944043771,1.5625e-05
26,0.003414274433472591,0.0023681246252939066,1.5625e-05
27,0.0034096620594807193,0.002407824562821285,7.8125e-06
28,0.0034036061442748178,0.002326913915809807,7.8125e-06
29,0.0034046079740294643,0.0025427227747362243,3.90625e-06
30,0.0034043718396528024,0.002251099104766278,3.90625e-06
